EntityID,CanonicalName,Description,SourceBooks,SuggestedSearchQuery,Status,Latitude,Longitude,CoordinateStatus,CoordinateNotes,Reviewer,ReviewedDate
ENT_PLA_EX_002,Srinagar,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Srinagar Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_045,Srinagar-Leh route,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Srinagar-Leh route Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0057,Stok Palace,Royal palace near Leh.,The Yogins of Ladakh; Famous Western Explorers to Ladakh,Stok Palace Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_039,Suru,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Suru Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_017,Suru Valley,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Suru Valley Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_046,Tasgam,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Tasgam Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_004,Tashigang,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Tashigang Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_011,Tata,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Tata Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0059,Tayul Gompa,Lahoul monastery.,The Yogins of Ladakh,Tayul Gompa Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0060,Ter-go-tse,Site near Sani where statue of Ngawang Tsering appears in plates.,The Yogins of Ladakh,Ter-go-tse Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0061,Thiksey Gompa,Gelugpa gompa near Leh.,The Yogins of Ladakh,Thiksey Gompa Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_021,Timisgam,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Timisgam Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0065,Tsibri,Tipun's retreat and printing-library location.,The Yogins of Ladakh,Tsibri Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_023,Tso Kar,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Tso Kar Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_030,Tsomoriri,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Tsomoriri Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0066,Umasi La,Pass/glacier crossing into Zangskar.,The Yogins of Ladakh,Umasi La Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0067,Urgyen Dzong,Khamtag Rimpoche's small mountain gompa and cave site.,The Yogins of Ladakh,Urgyen Dzong Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
EXT_PLA_0010,Vikramashila,Important Indian monastic university associated with Atisha.,Introduction to Tibetan Buddhism,Vikramashila Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
PL_MTHOGLING,mTho-gling,Western Tibetan center of Buddhist renaissance.,Buddhism in Ladakh,mTho-gling Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_032,northern Ladakh adjoining Lingzhi T'ang,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,northern Ladakh adjoining Lingzhi T'ang Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
